Simulation,Percent KE Loss
syn_40_50,4.271000665
syn_40_100,7.663183337
syn_40_150,7.981145166
syn_50_50,4.194458878
syn_50_100,7.655835429
syn_50_150,7.927740707
syn_60_50,4.214920047
syn_60_100,7.647752392
syn_60_150,7.871824117
poly_40_50,4.606083396
poly_40_100,6.331779797
poly_40_150,6.50974462
poly_50_50,4.559080415
poly_50_100,6.288234857
poly_50_150,6.457021876
poly_60_50,4.531964817
poly_60_100,6.251343267
poly_60_150,6.410524991
multi_40_50,2.47753039
multi_40_100,6.435728616
multi_40_150,8.151436754
multi_50_50,2.52717837
multi_50_100,6.435605342
multi_50_150,8.130296054
multi_60_50,2.59139947
multi_60_100,6.430920869
multi_60_150,8.104564939
